ID,Year,Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Release URL,Domestic % Numeric,Foreign % Numeric,Serial-world category,Period,Serial narrative world
1,1977,1,Star Wars: Episode IV - A New Hope,307263857,307263857.0,100%,,,https://www.boxofficemojo.com/releasegroup/gr22499845/?ref_=bo_ydw_table_1,100.0,,Fantasy saga,1977–1989,True
2,1977,2,Smokey and the Bandit,126748082,126737428.0,100%,87.0,<0.1%,https://www.boxofficemojo.com/releasegroup/gr1304711685/?ref_=bo_ydw_table_2,100.0,0.1,Outside the serial-world dictionary,1977–1989,False
3,1977,3,Close Encounters of the Third Kind,116400854,116395460.0,100%,2696.0,<0.1%,https://www.boxofficemojo.com/releasegroup/gr544363013/?ref_=bo_ydw_table_3,100.0,0.1,Outside the serial-world dictionary,1977–1989,False
4,1977,4,Saturday Night Fever,94214336,94213184.0,100%,,,https://www.boxofficemojo.com/releasegroup/gr3946861061/?ref_=bo_ydw_table_4,100.0,,Outside the serial-world dictionary,1977–1989,False
5,1977,5,A Bridge Too Far,50750000,50750000.0,100%,,,https://www.boxofficemojo.com/releasegroup/gr3980546565/?ref_=bo_ydw_table_5,100.0,,Outside the serial-world dictionary,1977–1989,False
6,1977,6,The Deep,47346365,47346365.0,100%,,,https://www.boxofficemojo.com/releasegroup/gr4096283141/?ref_=bo_ydw_table_6,100.0,,Outside the serial-world dictionary,1977–1989,False
7,1977,7,The Spy Who Loved Me,46840770,46838673.0,100%,,,https://www.boxofficemojo.com/releasegroup/gr2182173189/?ref_=bo_ydw_table_7,100.0,,Action and service hero,1977–1989,True
8,1977,8,"Oh, God!",41687243,41687243.0,100%,,,https://www.boxofficemojo.com/releasegroup/gr1932218885/?ref_=bo_ydw_table_8,100.0,,Outside the serial-world dictionary,1977–1989,False
9,1977,9,Annie Hall,38258186,38251425.0,100%,5771.0,<0.1%,https://www.boxofficemojo.com/releasegroup/gr2367246853/?ref_=bo_ydw_table_9,100.0,0.1,Outside the serial-world dictionary,1977–1989,False
10,1977,10,Semi-Tough,37187139,37187139.0,100%,,,https://www.boxofficemojo.com/releasegroup/gr4039791109/?ref_=bo_ydw_table_10,100.0,,Outside the serial-world dictionary,1977–1989,False
11,1977,11,Pete's Dragon,35488000,35488000.0,100%,,,https://www.boxofficemojo.com/releasegroup/gr2990952965/?ref_=bo_ydw_table_11,100.0,,Outside the serial-world dictionary,1977–1989,False
