Year,Number of records,Total worldwide box-office revenue,Share of the highest-grossing film,Share of the top ten,Share of the top twenty,Herfindahl index,Effective number of equally sized films,Share of records with international revenue,Share of international box-office revenue,Share of revenue with known international revenue,"Total revenue index, 2019 = 100",Serial-world share of top-twenty revenue,Share of serial titles in the top twenty,Five-year mean seriality
1977,40,1373165738,0.2237631252346321,0.6602967194044569,0.8742478797559395,0.08289961931914491,12.062781568998822,0.075,6.229400984369739e-06,0.20493310764501466,3.876537217660799,0.29496742378939167,0.1,0.22913404207575483
1978,56,1552435744,0.10307639502533897,0.5684545762429959,0.7843100016898349,0.04459674014911791,22.42316359124691,0.125,1.5545248873115358e-05,0.3509944441217401,4.382628238604459,0.13526327978469807,0.1,0.211512078564722
1979,84,1957969337,0.054270512817535504,0.4097574680251492,0.629084999302009,0.025751033882538493,38.83339226539132,0.10714285714285714,0.00021217186201522215,0.15771182580067136,5.527476251318426,0.2571714226531747,0.2,0.21457582159448063
1980,118,2281403393,0.09178474339193726,0.3889944666177675,0.5785499452003313,0.025349168488712985,39.44902573215614,0.0847457627118644,0.00012035223619043684,0.08144854547430753,6.4405518698298065,0.15864618803162353,0.05,0.17941263099399632
1981,116,2391695825,0.09047375662831204,0.42125166857286295,0.5756432747880889,0.029935342812033822,33.40532982298122,0.08620689655172414,0.04586537295142872,0.14046517432876315,6.751914661401528,0.22683079371351517,0.15,0.2076480561536771
1982,132,2874561279,0.12499702080624875,0.43870260140660583,0.592866163421246,0.03288897591085822,30.4053249547929,0.06060606060606061,0.002729020966541726,0.19809515808899197,8.115075605309146,0.11915147078697003,0.1,0.2638323446705084
1983,159,2674402497,0.09445161574720141,0.36247637597086796,0.542085375565666,0.023300948644708375,42.91670760911698,0.08176100628930817,0.007801288707815621,0.20966635711303705,7.550014195464491,0.276440405583102,0.15,0.3067040980209588
1984,165,3375732485,0.0704658254340317,0.3813184592439646,0.5172055753108648,0.02304080228333897,43.40126648815132,0.09696969696969697,0.008100962715948151,0.22274018700862785,9.529914891431027,0.5380928652373315,0.35,0.3391264237467192
1985,181,3206029788,0.0699496002312253,0.36236356984216517,0.5075169822470782,0.021768514845582274,45.93790651744628,0.06629834254143646,0.04610453544544546,0.22605732851038626,9.050833013218657,0.3730049547838753,0.25,0.3572287981519657
1986,200,3207719400,0.055331153653901274,0.3474524944420014,0.4976565010642764,0.019096606215009745,52.36532547935192,0.09,0.0022154758923115282,0.28042906402598683,9.055602899052648,0.38894242234231735,0.25,0.33858248055039886
1987,200,3578793389,0.04688199115257726,0.28517216281244223,0.4395413643701687,0.015818449749148575,63.217320019227856,0.06,0.005356359509023335,0.11517503336932648,10.103169182609568,0.20966334281320226,0.2,0.3317202471274656
1988,200,3641539609,0.0653828752573648,0.32653408054691846,0.47939427973966053,0.01804191601212365,55.42648570850395,0.08,0.022558359875305148,0.21262490955374364,10.280305889684566,0.18320881757526786,0.2,0.3178579889539847
1989,200,4383005709,0.09153283172235083,0.3718836016236638,0.5441255956164669,0.02347929387830492,42.59071866398883,0.045,0.052483704852961215,0.21034757566180481,12.37351347034429,0.5037816981226652,0.35,0.2931327567176492
1990,200,4593246214,0.06317481416858356,0.3396894852369,0.5000221679821321,0.018737216227540692,53.36972087295235,0.05,0.0022256392372002726,0.2018378488342885,12.96703624748505,0.30369366391647085,0.25,0.33802824325591485
1991,200,4415024805,0.05635852344888468,0.3138821406916195,0.47970782646599425,0.017253095243467884,57.96061436446341,0.06,0.024500039473730657,0.16627616251863844,12.463905484858604,0.26531626116063967,0.25,0.3748349504251286
1992,200,4884819645,0.07093277197135904,0.34424907493181356,0.5051758771740691,0.020026893195410927,49.93285729556622,0.09,0.04833205628004307,0.30495038573732236,13.790167225540776,0.43414077550453073,0.25,0.3362971426568267
1993,200,5546420747,0.17636021348165493,0.388756796564031,0.5083690088829101,0.040700080277347,24.569976107801036,0.11,0.11267770090071748,0.3671188867345408,15.657910662603141,0.36724235342133654,0.1,0.35010105367498806
1994,200,5613901597,0.13734753765759675,0.37787117307749274,0.5261805134914622,0.03113658546564062,32.11655950854036,0.135,0.09700303195392827,0.37528598009731023,15.84841354165501,0.31109265928115576,0.15,0.3417072739272174
1995,200,5764981560,0.0567609175492315,0.2828089797046983,0.4251405204841627,0.015340319324715817,65.18769126199564,0.12,0.07056382535939976,0.27317002137991225,16.274922216613167,0.3727132190072776,0.35,0.30125949570953764
1996,200,5699427943,0.0537201096429407,0.28971804653272726,0.45499633979669385,0.01523097732724848,65.65566860972098,0.085,0.004686540696212466,0.09192390065102364,16.08986004311115,0.22334736242178632,0.15,0.2591341896735645
1997,200,8529186225,0.21612534529928146,0.4268455702525126,0.5588535521746097,0.05579543243869546,17.922614025775992,0.115,0.2203605753724764,0.4056790986528143,24.078453840342114,0.2319018844161319,0.3,0.25948331197652824
1998,200,11297527955,0.0490115882169552,0.31735844976716415,0.5136545312491771,0.018120722134430032,55.18543866968544,0.355,0.4210683850438855,0.8408384654446293,31.893664670739692,0.1566158232414708,0.15,0.2602669948345048
1999,200,12993822964,0.07113419095833697,0.3549735578035077,0.5191594742894174,0.02066461081323775,48.39191064558544,0.52,0.4390807092575376,0.9237931905226472,36.68241707880535,0.3128382707959745,0.2,0.3518568893916264
