Year,Superhero and comics,Science-fiction and posthuman hero,Fantasy hero and quest,Animated and family hero,"Action hero, spy, and criminal protagonist","Historical, military, and biographical hero",Horror and survival hero,Comic and romantic hero,Other and unclassified
2005,0.05793199632794294,0.0,0.0,0.0,0.17106666195890122,0.0,0.03711425746769296,0.04270708283313325,0.6911800014123296
2006,0.04129895190502797,0.0,0.3258703520017076,0.1339055244450862,0.12000240129575802,0.0,0.0,0.0,0.3789227703524202
2007,0.09010885414334195,0.07653916540349508,0.19931344695172723,0.16438903610077338,0.1231714120676974,0.06203039050408706,0.040865314914938014,0.0,0.24358237991393988
2008,0.06414067543618716,0.0,0.13951173630551117,0.14139282392247454,0.19240681044235303,0.14626656451808273,0.0,0.06956514668633111,0.24671624268906028
2009,0.0,0.22270065561140823,0.1512420415194354,0.09332789684942798,0.03313245512146026,0.06032513712994502,0.03434872366797675,0.13005080619194728,0.2748722839083991
2010,0.029188943528148537,0.16261503769849264,0.3312279982585435,0.2085774887900127,0.0,0.0,0.04230785100152615,0.0,0.2260826807232765
2011,0.030427872653543225,0.16510068807504588,0.26446178358770134,0.22468531230872124,0.0,0.056218779429468284,0.02740337110947979,0.0,0.2317021928360402
2012,0.08190333112309348,0.07586022066833774,0.2090022499924776,0.26136034805598396,0.13724385131115413,0.052052197433263,0.03211323261420278,0.0,0.15046456880148731
2013,0.1330011046766219,0.17252681670114203,0.21662863040667696,0.16890289795338548,0.05467991730111248,0.11420486259025442,0.051666761049807775,0.03918652352288998,0.049202485798108944
2014,0.08659516941962865,0.1195566073064456,0.4026556323265518,0.15009182380011057,0.0,0.04479394318769494,0.0,0.05878896663533622,0.1375178573242322
2015,0.06379824707052491,0.23482145576956362,0.11730619833657266,0.1961743289297875,0.15358516168909953,0.029299908348630124,0.0,0.0,0.20501469985582166
2016,0.3081387415712207,0.03319437856190955,0.23174252527540248,0.3141599968700396,0.0,0.0,0.0,0.0,0.11276435772142769
2017,0.25946968654672636,0.08326447489465896,0.31292437334303835,0.10955780202591625,0.10325856503890286,0.0,0.03961721723227655,0.0,0.09190788091848064
2018,0.3756816438820372,0.08141177077263022,0.12820008405866892,0.19610370331167118,0.034332567189745776,0.04849716049971483,0.0,0.047644190859705386,0.08812887942582656
2019,0.27454350689915974,0.05816325143892218,0.15720824352133517,0.27373327795965485,0.08509356017737925,0.03757126875325376,0.03493350329485637,0.0,0.07875338795543861
2020,0.03894859630710778,0.0,0.05156016655418667,0.064368402210453,0.2494442598658713,0.03437925501673958,0.06918101478420058,0.04146345134757962,0.4506548539138615
2021,0.2846261704720206,0.17054479884722507,0.0,0.2048270279676812,0.220310965926229,0.03542515072571836,0.0,0.0,0.08426588606112576
2022,0.18047560932297702,0.07232452610675658,0.0,0.21945598739660693,0.26916336206399755,0.013398771567620548,0.0,0.025832355951145372,0.21934938759089603
2023,0.0,0.04702677476909042,0.0908783863134723,0.279201368509019,0.15589039400979535,0.22568231322997725,0.12027468495760567,0.0,0.08104607821104
2024,0.0,0.02015255914678137,0.0698822962597802,0.6435377182188105,0.09525944119593656,0.0,0.0,0.0,0.1711679851786914
2025,0.0,0.12880144398158785,0.08894396112222926,0.23040962353623043,0.0986227454387584,0.0,0.2064834911551216,0.04205094284670084,0.20468779191937164
